,Unnamed: 0,Company,2022_Valuation,2023_Valuation,2024_Valuation,Date Joined,Country,City,Industry,Select Investors,Overall_Growth,CAGR (%),Lat,Lng
384,384,YITU Technology,2.17,2.17,2.17,3/8/2018,China,Shanghai,Artificial intelligence,"Sequoia Capital China, Banyan Capital",0.0,0.0,31.0723437,121.3091024
385,385,Addepar,2.17,2.17,2.17,6/15/2021,United States,Mountain View,Fintech,"8VC, D1 Capital Partners, Sway Ventures",0.0,0.0,37.3542156,-122.1175575
386,386,Qualia,2.17,2.17,2.17,12/21/2020,United States,San Francisco,Fintech,"8VC, Menlo Ventures, Tiger Global Management",0.0,0.0,37.6403143,-123.173825
387,387,Neo4j,2.0,2.0,2.0,6/17/2021,United States,San Mateo,Data management & analytics,"Eight Roads Ventures, One Peak Partners, Creandum",0.0,0.0,37.5128069,-122.3549066
388,388,CloudWalk,2.15,2.15,2.15,9/8/2021,Brazil,Sao Paulo,Fintech,"Plug and Play Ventures, Valor Capital Group, DST Global",0.0,0.0,-24.0079003,-46.8262692
389,389,CoinDCX,2.15,2.15,2.15,8/10/2021,India,Maharashtra,Fintech,"Polychain Capital, Coinbase Ventures, Jump Capital",0.0,0.0,15.6063596,72.6526112
390,390,FirstCry,2.1,2.1,3.75,2/7/2020,India,Pune,E-commerce & direct-to-consumer,"SoftBank Group, SAIF Partners India, Valiant Capital Partners",1.65,33.63,18.429497,73.7498473
391,391,Urban Company,2.1,2.1,2.1,4/27/2021,India,Gurgaon,E-commerce & direct-to-consumer,"VY Capital, Accel, Elevation Capital",0.0,0.0,28.3153915,76.8656338
392,392,Moveworks,2.1,2.1,2.1,6/30/2021,United States,Mountain View,Artificial intelligence,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers",0.0,0.0,37.3542156,-122.1175575
393,393,Medable,2.1,2.1,2.1,10/26/2021,United States,Palo Alto,Health,"GSR Ventures, Sapphire Ventures, Streamlined Ventures",0.0,0.0,37.2876789,-122.2026647
394,394,GoCardless,2.1,2.1,2.1,2/8/2022,United Kingdom,London,Fintech,"Accel, Passion Capital, Balderton Capital",0.0,0.0,51.2867601,-0.5103751
395,395,Forto,2.1,2.1,2.1,6/21/2021,Germany,Berlin,"Supply chain, logistics, & delivery","Cherry Ventures, Northzone Ventures, Global Founders Capital",0.0,0.0,52.3382448,13.088345
396,396,Jeeves,2.1,2.1,2.1,3/14/2022,United States,Orlando,Fintech,"Tencent Holdings, CRV, Clocktower Technology Ventures",0.0,0.0,28.3480634,-81.5075377
397,397,Babel Finance,2.0,2.0,2.0,5/25/2022,Hong Kong,Hong Kong,Fintech,"Dragonfly Capital, BAI Capital, 10T Fund",0.0,0.0,22.151972,113.832779
398,398,Trendy Group International,2.0,2.0,2.0,2/13/2012,Hong Kong,Kowloon,Consumer & retail,L Capital Partners,0.0,0.0,22.31167,114.17833
399,399,Avant,2.0,2.0,2.0,12/17/2012,United States,Chicago,Artificial intelligence,"RRE Ventures, Tiger Global, August Capital",0.0,0.0,41.644531,-87.9400876
400,400,Tubatu.com,2.0,2.0,2.0,3/9/2015,China,Shenzhen,E-commerce & direct-to-consumer,"Sequoia Capital China, Matrix Partners China, 58.com",0.0,0.0,22.2875999,113.6793565
401,401,BlaBlaCar,2.0,2.0,2.0,9/16/2015,France,Paris,Auto & transportation,"Accel Partners, Index Ventures, Insight Venture Partners",0.0,0.0,48.8155755,2.224122
402,402,HuiMin,2.0,2.0,2.0,9/5/2016,China,Beijing,E-commerce & direct-to-consumer,"Zheshang Venture Capital, GP Capital, Western Capital Management",0.0,0.0,39.7457136,116.2312972
403,403,Improbable,1.0,3.36,3.36,5/11/2017,United Kingdom,London,Other,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",2.36,83.3,51.2867601,-0.5103751
404,404,Preferred Networks,2.0,2.0,2.0,5/17/2018,Japan,Tokyo,Artificial intelligence,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",0.0,0.0,35.53308,139.279417
405,405,Formlabs,2.0,2.0,2.0,8/1/2018,United States,Somerville,Hardware,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",0.0,0.0,42.3725268,-71.134635
406,406,Calm,2.0,2.0,2.0,2/6/2019,United States,San Francisco,Internet software & services,"Insight Venture Partners, TPG Growth, Sound Ventures",0.0,0.0,37.6403143,-123.173825
407,407,Kaseya,2.0,2.0,2.0,3/27/2019,United States,Miami,Cybersecurity,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",0.0,0.0,25.7090517,-80.31976
408,408,Mafengwo,2.0,2.0,2.0,5/23/2019,China,Beijing,Travel,"Qiming Venture Partners, Capital Today, General Atlantic",0.0,0.0,39.7457136,116.2312972
409,409,Druva,2.0,2.0,2.0,6/20/2019,United States,Sunnyvale,Data management & analytics,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",0.0,0.0,37.3302233,-122.0651995
410,410,Kujiale,2.0,2.0,2.0,10/25/2019,China,Hangzhou,Internet software & services,"GGV Capital, IDG Capital, Linear Venture",0.0,0.0,29.1888286,118.3396948
411,411,AppsFlyer,2.0,2.0,2.0,1/21/2020,United States,San Francisco,Mobile & telecommunications,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",0.0,0.0,37.6403143,-123.173825
412,412,Xingyun Group,2.0,2.0,2.0,9/24/2020,China,Shenzhen,E-commerce & direct-to-consumer,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",0.0,0.0,22.2875999,113.6793565
413,413,Unqork,2.0,2.0,2.0,10/6/2020,United States,New York,Fintech,"Blackrock, capitalG, World Lab Innovation",0.0,0.0,40.476578,-74.258843
414,414,Virta Health,2.0,2.0,2.0,12/2/2020,United States,San Francisco,Health,"Caffeinated Capital, Obvious Ventures, Venrock",0.0,0.0,37.6403143,-123.173825
415,415,ISN,2.0,2.0,2.0,12/17/2020,United States,Dallas,"Supply chain, logistics, & delivery",Blackstone,0.0,0.0,32.613216,-97.000482
416,416,Earnix,2.0,2.0,2.0,2/21/2021,Israel,Giv'atayim,Fintech,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",0.0,0.0,32.065666,34.811609
